Sector,Company Name,Industry,Symbol,Series,ISIN Code,Status
nifty200,NHPC Ltd.,Power,NHPC,EQ,INE848E01016,NO_DATA
nifty200,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015,NO_DATA
nifty200,CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
nifty200,Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
nifty200,Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
nifty200,JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
nifty200,LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
nifty200,ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
nifty200,Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
nifty200,Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
nifty200,Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
nifty200,Lodha Developers Ltd.,Realty,LODHA,EQ,INE670K01029,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
nifty200,Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
nifty200,Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
