Index / Sector,Stocks,Successful,Average 3M Return,Average RS 3M,Median RS 3M,Positive RS %,RS > +5 %,RS > +10 %,Top Stock,Top Stock RS
niftyindiadefence,18,18,18.408118,16.10174,8.279925,77.777778,55.555556,38.888889,CYIENTDLM,90.37075
Nifty India Internet Index,27,27,16.194632,13.888254,13.969859,70.37037,66.666667,55.555556,CARTRADE,75.206301
niftyrealty,10,10,13.403203,11.096826,13.635979,80.0,80.0,60.0,BRIGADE,31.929698
niftyauto,15,15,12.20329,9.896913,10.889625,86.666667,73.333333,60.0,SONACOMS,32.519534
niftypharma,19,19,11.101801,8.795424,5.830244,57.894737,52.631579,42.105263,LAURUSLABS,39.352947
nifty500healthcare,47,47,10.998262,8.691885,5.319135,68.085106,53.191489,38.297872,LAURUSLABS,39.352947
niftyconsumerdurables,15,15,10.724456,8.418079,-0.0389,46.666667,40.0,26.666667,KALYANKJIL,74.936264
niftymidsmallhealthcare,29,29,9.997661,7.691283,2.228868,58.62069,44.827586,37.931034,LAURUSLABS,39.352947
niftymedia,10,10,9.105775,6.799398,3.340949,50.0,50.0,40.0,PVRINOX,26.127032
niftyhealthcare,20,20,8.441564,6.135187,3.138852,55.0,45.0,30.0,LAURUSLABS,39.352947
niftyindiadigital,30,30,7.596953,5.290575,5.172629,70.0,50.0,30.0,PAYTM,47.765128
niftyit,10,10,7.444907,5.138529,5.247846,70.0,50.0,20.0,COFORGE,31.453645
niftyevnewageautomotive,35,35,6.774876,4.468498,2.790917,65.714286,48.571429,40.0,ATHERENERG,52.791641
niftybank,14,14,6.172978,3.8666,6.944158,64.285714,64.285714,21.428571,FEDERALBNK,17.022226
niftyprivatebank,10,10,5.422513,3.116135,7.741483,60.0,60.0,30.0,FEDERALBNK,17.022226
niftymidsmallfinancailservice,29,29,5.156514,2.850136,4.638921,62.068966,48.275862,24.137931,PAYTM,47.765128
nifty500,498,498,4.95197,2.645592,0.930152,52.208835,38.554217,26.706827,KALYANKJIL,74.936264
niftymidsmallitandtelecom,20,20,4.50088,2.194502,4.326353,65.0,45.0,30.0,HFCL,34.316941
niftynext50,50,50,3.932767,1.626389,1.737617,52.0,38.0,26.0,DIVISLAB,33.586828
niftychemicals,20,20,3.83354,1.527163,2.751788,60.0,45.0,25.0,FLUOROCHEM,26.930327
niftyfinancialservicesexbank,29,29,3.440409,1.134032,-1.674312,44.827586,41.37931,31.034483,PAYTM,47.765128
niftylargemidcap250,250,250,3.181645,0.875268,-0.175121,49.6,35.2,22.4,KALYANKJIL,74.936264
niftymetal,15,15,3.08909,0.782712,-4.886216,33.333333,20.0,13.333333,WELCORP,72.419456
nifty200,200,200,2.757308,0.450931,-0.706472,47.5,34.5,21.5,KALYANKJIL,74.936264
niftypsubank,12,12,2.30186,-0.004517,-0.074965,50.0,25.0,0.0,UNIONBANK,7.593551
nifty50,50,50,1.699495,-0.606883,-0.625828,44.0,30.0,16.0,ETERNAL,28.78948
niftyfinancialservices25-50,20,20,1.477554,-0.828824,-2.263851,40.0,35.0,25.0,CHOLAFIN,19.654993
niftyfinance,20,20,1.477554,-0.828824,-2.263851,40.0,35.0,25.0,CHOLAFIN,19.654993
niftyhousing,47,47,0.781916,-1.524461,-2.226473,40.425532,31.914894,14.893617,DIXON,25.348951
niftyoilgas,14,14,0.442105,-1.864273,-3.919874,28.571429,14.285714,7.142857,AEGISLOG,71.118701
niftyinfra,30,30,-0.373359,-2.679736,-3.865456,43.333333,23.333333,16.666667,INDIGO,15.491579
niftyfmcg,15,15,-3.163234,-5.469611,-8.545485,13.333333,13.333333,13.333333,RADICO,28.597959
niftyindiarailwayspsu,16,16,-3.167119,-5.473496,-7.988948,31.25,18.75,6.25,MRPL,15.51923
niftyenergy,39,39,-6.92679,-9.233167,-12.262999,20.512821,5.128205,2.564103,AEGISLOG,71.118701
niftycpse,11,11,-8.640334,-10.946711,-13.93614,9.090909,0.0,0.0,COCHINSHIP,2.845592
