Sector,Company Name,Industry,Symbol,Series,ISIN Code,NSE Symbol,Last Fetch,Live NIFTY LTP,Daily,Weekly,1M,3M,6M,YTD,Nifty Index 3M % Change,Stock Relative Strength vs Nifty,RS History,10D RS Change,Highest RS,Lowest RS,Average RS,RS Momentum Score,Consistency,RS Data Days,Volume History,Today Volume,10D Average Volume,Volume Ratio,Volume Change %,Upstox Instrument Key,Data Date,LTP,Return Calculation Price,Previous Close,LTP Change %,LTP Volume,LTP Last Traded Qty,LTP Fetch Time,Status
niftyindiadefence,Cyient DLM Ltd.,Capital Goods,CYIENTDLM,EQ,INE055S01018,,2026-09-26T17:05:51+05:30,,2.048866,-0.988625,16.73142,101.929539,232.464751,,-3.364827,105.294367,"[{'date': '2026-09-11', 'rs': 94.931821, 'volume': 506275}, {'date': '2026-09-15', 'rs': 91.958354, 'volume': 468701}, {'date': '2026-09-16', 'rs': 90.181972, 'volume': 855768}, {'date': '2026-09-17', 'rs': 94.184289, 'volume': 1059462}, {'date': '2026-09-18', 'rs': 101.382967, 'volume': 469640}, {'date': '2026-09-21', 'rs': 91.837862, 'volume': 432427}, {'date': '2026-09-22', 'rs': 97.351727, 'volume': 281857}, {'date': '2026-09-23', 'rs': 108.709966, 'volume': 523966}, {'date': '2026-09-24', 'rs': 100.407023, 'volume': 311196}, {'date': '2026-09-25', 'rs': 105.294367, 'volume': 261221}]",10.362546,108.709966,90.181972,97.624035,8.522591,5.0,10.0,"[{'date': '2026-09-11', 'rs': 94.931821, 'volume': 506275}, {'date': '2026-09-15', 'rs': 91.958354, 'volume': 468701}, {'date': '2026-09-16', 'rs': 90.181972, 'volume': 855768}, {'date': '2026-09-17', 'rs': 94.184289, 'volume': 1059462}, {'date': '2026-09-18', 'rs': 101.382967, 'volume': 469640}, {'date': '2026-09-21', 'rs': 91.837862, 'volume': 432427}, {'date': '2026-09-22', 'rs': 97.351727, 'volume': 281857}, {'date': '2026-09-23', 'rs': 108.709966, 'volume': 523966}, {'date': '2026-09-24', 'rs': 100.407023, 'volume': 311196}, {'date': '2026-09-25', 'rs': 105.294367, 'volume': 261221}]",261221.0,545476.888889,0.478886,-52.111445,NSE_EQ|INE055S01018,2026-09-25,,LAST COMPLETED CLOSE,,,,,,OK
niftymetal,Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025,,2026-09-26T17:05:51+05:30,,5.207637,6.4772,22.790133,87.476833,267.390881,,-3.364827,90.841661,"[{'date': '2026-09-11', 'rs': 95.909494, 'volume': 1221515}, {'date': '2026-09-15', 'rs': 79.294968, 'volume': 3340619}, {'date': '2026-09-16', 'rs': 77.490751, 'volume': 2931474}, {'date': '2026-09-17', 'rs': 79.775862, 'volume': 1698993}, {'date': '2026-09-18', 'rs': 89.65992, 'volume': 4629365}, {'date': '2026-09-21', 'rs': 99.574377, 'volume': 2544698}, {'date': '2026-09-22', 'rs': 94.926213, 'volume': 1437944}, {'date': '2026-09-23', 'rs': 101.311969, 'volume': 1740034}, {'date': '2026-09-24', 'rs': 89.145664, 'volume': 1002471}, {'date': '2026-09-25', 'rs': 90.841661, 'volume': 2763523}]",-5.067833,101.311969,77.490751,89.793088,1.165081,5.0,10.0,"[{'date': '2026-09-11', 'rs': 95.909494, 'volume': 1221515}, {'date': '2026-09-15', 'rs': 79.294968, 'volume': 3340619}, {'date': '2026-09-16', 'rs': 77.490751, 'volume': 2931474}, {'date': '2026-09-17', 'rs': 79.775862, 'volume': 1698993}, {'date': '2026-09-18', 'rs': 89.65992, 'volume': 4629365}, {'date': '2026-09-21', 'rs': 99.574377, 'volume': 2544698}, {'date': '2026-09-22', 'rs': 94.926213, 'volume': 1437944}, {'date': '2026-09-23', 'rs': 101.311969, 'volume': 1740034}, {'date': '2026-09-24', 'rs': 89.145664, 'volume': 1002471}, {'date': '2026-09-25', 'rs': 90.841661, 'volume': 2763523}]",2763523.0,2283012.555556,1.210472,21.04721,NSE_EQ|INE191B01025,2026-09-25,,LAST COMPLETED CLOSE,,,,,,OK
nifty500,Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025,,2026-09-26T17:05:51+05:30,,5.207637,6.4772,22.790133,87.476833,267.390881,,-3.364827,90.841661,"[{'date': '2026-09-11', 'rs': 95.909494, 'volume': 1221515}, {'date': '2026-09-15', 'rs': 79.294968, 'volume': 3340619}, {'date': '2026-09-16', 'rs': 77.490751, 'volume': 2931474}, {'date': '2026-09-17', 'rs': 79.775862, 'volume': 1698993}, {'date': '2026-09-18', 'rs': 89.65992, 'volume': 4629365}, {'date': '2026-09-21', 'rs': 99.574377, 'volume': 2544698}, {'date': '2026-09-22', 'rs': 94.926213, 'volume': 1437944}, {'date': '2026-09-23', 'rs': 101.311969, 'volume': 1740034}, {'date': '2026-09-24', 'rs': 89.145664, 'volume': 1002471}, {'date': '2026-09-25', 'rs': 90.841661, 'volume': 2763523}]",-5.067833,101.311969,77.490751,89.793088,1.165081,5.0,10.0,"[{'date': '2026-09-11', 'rs': 95.909494, 'volume': 1221515}, {'date': '2026-09-15', 'rs': 79.294968, 'volume': 3340619}, {'date': '2026-09-16', 'rs': 77.490751, 'volume': 2931474}, {'date': '2026-09-17', 'rs': 79.775862, 'volume': 1698993}, {'date': '2026-09-18', 'rs': 89.65992, 'volume': 4629365}, {'date': '2026-09-21', 'rs': 99.574377, 'volume': 2544698}, {'date': '2026-09-22', 'rs': 94.926213, 'volume': 1437944}, {'date': '2026-09-23', 'rs': 101.311969, 'volume': 1740034}, {'date': '2026-09-24', 'rs': 89.145664, 'volume': 1002471}, {'date': '2026-09-25', 'rs': 90.841661, 'volume': 2763523}]",2763523.0,2283012.555556,1.210472,21.04721,NSE_EQ|INE191B01025,2026-09-25,,LAST COMPLETED CLOSE,,,,,,OK
niftyindiadefence,Unimech Aerospace and Manufacturing Ltd.,Capital Goods,UNIMECH,EQ,INE0U3I01011,,2026-09-26T17:05:51+05:30,,-1.60728,4.637718,10.991868,52.565512,117.489551,,-3.364827,55.93034,"[{'date': '2026-09-11', 'rs': 42.29533, 'volume': 296742}, {'date': '2026-09-15', 'rs': 38.834135, 'volume': 269490}, {'date': '2026-09-16', 'rs': 34.237212, 'volume': 459813}, {'date': '2026-09-17', 'rs': 42.256817, 'volume': 261719}, {'date': '2026-09-18', 'rs': 35.644935, 'volume': 189186}, {'date': '2026-09-21', 'rs': 45.831916, 'volume': 608531}, {'date': '2026-09-22', 'rs': 54.305544, 'volume': 1014230}, {'date': '2026-09-23', 'rs': 51.976837, 'volume': 221674}, {'date': '2026-09-24', 'rs': 53.176246, 'volume': 179298}, {'date': '2026-09-25', 'rs': 55.93034, 'volume': 138995}]",13.63501,55.93034,34.237212,45.448931,11.64601,5.0,10.0,"[{'date': '2026-09-11', 'rs': 42.29533, 'volume': 296742}, {'date': '2026-09-15', 'rs': 38.834135, 'volume': 269490}, {'date': '2026-09-16', 'rs': 34.237212, 'volume': 459813}, {'date': '2026-09-17', 'rs': 42.256817, 'volume': 261719}, {'date': '2026-09-18', 'rs': 35.644935, 'volume': 189186}, {'date': '2026-09-21', 'rs': 45.831916, 'volume': 608531}, {'date': '2026-09-22', 'rs': 54.305544, 'volume': 1014230}, {'date': '2026-09-23', 'rs': 51.976837, 'volume': 221674}, {'date': '2026-09-24', 'rs': 53.176246, 'volume': 179298}, {'date': '2026-09-25', 'rs': 55.93034, 'volume': 138995}]",138995.0,388964.777778,0.357346,-64.265402,NSE_EQ|INE0U3I01011,2026-09-25,,LAST COMPLETED CLOSE,,,,,,OK
nifty500,Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014,,2026-09-26T17:05:51+05:30,,-0.104603,-1.521011,-6.157877,51.647479,57.981803,,-3.364827,55.012307,"[{'date': '2026-09-11', 'rs': 58.869023, 'volume': 6340796}, {'date': '2026-09-15', 'rs': 63.237967, 'volume': 8522494}, {'date': '2026-09-16', 'rs': 55.255434, 'volume': 7484433}, {'date': '2026-09-17', 'rs': 55.547618, 'volume': 5395166}, {'date': '2026-09-18', 'rs': 54.497392, 'volume': 5379085}, {'date': '2026-09-21', 'rs': 55.441541, 'volume': 4439649}, {'date': '2026-09-22', 'rs': 58.363326, 'volume': 3440026}, {'date': '2026-09-23', 'rs': 57.69608, 'volume': 2741044}, {'date': '2026-09-24', 'rs': 55.953816, 'volume': 3630749}, {'date': '2026-09-25', 'rs': 55.012307, 'volume': 2831344}]",-3.856716,63.237967,54.497392,56.98745,-2.194604,4.0,10.0,"[{'date': '2026-09-11', 'rs': 58.869023, 'volume': 6340796}, {'date': '2026-09-15', 'rs': 63.237967, 'volume': 8522494}, {'date': '2026-09-16', 'rs': 55.255434, 'volume': 7484433}, {'date': '2026-09-17', 'rs': 55.547618, 'volume': 5395166}, {'date': '2026-09-18', 'rs': 54.497392, 'volume': 5379085}, {'date': '2026-09-21', 'rs': 55.441541, 'volume': 4439649}, {'date': '2026-09-22', 'rs': 58.363326, 'volume': 3440026}, {'date': '2026-09-23', 'rs': 57.69608, 'volume': 2741044}, {'date': '2026-09-24', 'rs': 55.953816, 'volume': 3630749}, {'date': '2026-09-25', 'rs': 55.012307, 'volume': 2831344}]",2831344.0,5263715.777778,0.537898,-46.210166,NSE_EQ|INE303R01014,2026-09-25,,LAST COMPLETED CLOSE,,,,,,OK
niftylargemidcap250,Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014,,2026-09-26T17:05:51+05:30,,-0.104603,-1.521011,-6.157877,51.647479,57.981803,,-3.364827,55.012307,"[{'date': '2026-09-11', 'rs': 58.869023, 'volume': 6340796}, {'date': '2026-09-15', 'rs': 63.237967, 'volume': 8522494}, {'date': '2026-09-16', 'rs': 55.255434, 'volume': 7484433}, {'date': '2026-09-17', 'rs': 55.547618, 'volume': 5395166}, {'date': '2026-09-18', 'rs': 54.497392, 'volume': 5379085}, {'date': '2026-09-21', 'rs': 55.441541, 'volume': 4439649}, {'date': '2026-09-22', 'rs': 58.363326, 'volume': 3440026}, {'date': '2026-09-23', 'rs': 57.69608, 'volume': 2741044}, {'date': '2026-09-24', 'rs': 55.953816, 'volume': 3630749}, {'date': '2026-09-25', 'rs': 55.012307, 'volume': 2831344}]",-3.856716,63.237967,54.497392,56.98745,-2.194604,4.0,10.0,"[{'date': '2026-09-11', 'rs': 58.869023, 'volume': 6340796}, {'date': '2026-09-15', 'rs': 63.237967, 'volume': 8522494}, {'date': '2026-09-16', 'rs': 55.255434, 'volume': 7484433}, {'date': '2026-09-17', 'rs': 55.547618, 'volume': 5395166}, {'date': '2026-09-18', 'rs': 54.497392, 'volume': 5379085}, {'date': '2026-09-21', 'rs': 55.441541, 'volume': 4439649}, {'date': '2026-09-22', 'rs': 58.363326, 'volume': 3440026}, {'date': '2026-09-23', 'rs': 57.69608, 'volume': 2741044}, {'date': '2026-09-24', 'rs': 55.953816, 'volume': 3630749}, {'date': '2026-09-25', 'rs': 55.012307, 'volume': 2831344}]",2831344.0,5263715.777778,0.537898,-46.210166,NSE_EQ|INE303R01014,2026-09-25,,LAST COMPLETED CLOSE,,,,,,OK
niftyconsumerdurables,Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014,,2026-09-26T17:05:51+05:30,,-0.104603,-1.521011,-6.157877,51.647479,57.981803,,-3.364827,55.012307,"[{'date': '2026-09-11', 'rs': 58.869023, 'volume': 6340796}, {'date': '2026-09-15', 'rs': 63.237967, 'volume': 8522494}, {'date': '2026-09-16', 'rs': 55.255434, 'volume': 7484433}, {'date': '2026-09-17', 'rs': 55.547618, 'volume': 5395166}, {'date': '2026-09-18', 'rs': 54.497392, 'volume': 5379085}, {'date': '2026-09-21', 'rs': 55.441541, 'volume': 4439649}, {'date': '2026-09-22', 'rs': 58.363326, 'volume': 3440026}, {'date': '2026-09-23', 'rs': 57.69608, 'volume': 2741044}, {'date': '2026-09-24', 'rs': 55.953816, 'volume': 3630749}, {'date': '2026-09-25', 'rs': 55.012307, 'volume': 2831344}]",-3.856716,63.237967,54.497392,56.98745,-2.194604,4.0,10.0,"[{'date': '2026-09-11', 'rs': 58.869023, 'volume': 6340796}, {'date': '2026-09-15', 'rs': 63.237967, 'volume': 8522494}, {'date': '2026-09-16', 'rs': 55.255434, 'volume': 7484433}, {'date': '2026-09-17', 'rs': 55.547618, 'volume': 5395166}, {'date': '2026-09-18', 'rs': 54.497392, 'volume': 5379085}, {'date': '2026-09-21', 'rs': 55.441541, 'volume': 4439649}, {'date': '2026-09-22', 'rs': 58.363326, 'volume': 3440026}, {'date': '2026-09-23', 'rs': 57.69608, 'volume': 2741044}, {'date': '2026-09-24', 'rs': 55.953816, 'volume': 3630749}, {'date': '2026-09-25', 'rs': 55.012307, 'volume': 2831344}]",2831344.0,5263715.777778,0.537898,-46.210166,NSE_EQ|INE303R01014,2026-09-25,,LAST COMPLETED CLOSE,,,,,,OK
nifty200,Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014,,2026-09-26T17:05:51+05:30,,-0.104603,-1.521011,-6.157877,51.647479,57.981803,,-3.364827,55.012307,"[{'date': '2026-09-11', 'rs': 58.869023, 'volume': 6340796}, {'date': '2026-09-15', 'rs': 63.237967, 'volume': 8522494}, {'date': '2026-09-16', 'rs': 55.255434, 'volume': 7484433}, {'date': '2026-09-17', 'rs': 55.547618, 'volume': 5395166}, {'date': '2026-09-18', 'rs': 54.497392, 'volume': 5379085}, {'date': '2026-09-21', 'rs': 55.441541, 'volume': 4439649}, {'date': '2026-09-22', 'rs': 58.363326, 'volume': 3440026}, {'date': '2026-09-23', 'rs': 57.69608, 'volume': 2741044}, {'date': '2026-09-24', 'rs': 55.953816, 'volume': 3630749}, {'date': '2026-09-25', 'rs': 55.012307, 'volume': 2831344}]",-3.856716,63.237967,54.497392,56.98745,-2.194604,4.0,10.0,"[{'date': '2026-09-11', 'rs': 58.869023, 'volume': 6340796}, {'date': '2026-09-15', 'rs': 63.237967, 'volume': 8522494}, {'date': '2026-09-16', 'rs': 55.255434, 'volume': 7484433}, {'date': '2026-09-17', 'rs': 55.547618, 'volume': 5395166}, {'date': '2026-09-18', 'rs': 54.497392, 'volume': 5379085}, {'date': '2026-09-21', 'rs': 55.441541, 'volume': 4439649}, {'date': '2026-09-22', 'rs': 58.363326, 'volume': 3440026}, {'date': '2026-09-23', 'rs': 57.69608, 'volume': 2741044}, {'date': '2026-09-24', 'rs': 55.953816, 'volume': 3630749}, {'date': '2026-09-25', 'rs': 55.012307, 'volume': 2831344}]",2831344.0,5263715.777778,0.537898,-46.210166,NSE_EQ|INE303R01014,2026-09-25,,LAST COMPLETED CLOSE,,,,,,OK
niftymedia,Prime Focus Ltd,Media Entertainment & Publication,PFOCUS,EQ,INE367G01038,,2026-09-26T17:05:51+05:30,,-1.035294,-8.392624,4.263758,49.864602,11.387712,,-3.364827,53.229429,"[{'date': '2026-09-11', 'rs': 30.723164, 'volume': 313377}, {'date': '2026-09-15', 'rs': 39.866387, 'volume': 1807027}, {'date': '2026-09-16', 'rs': 33.947919, 'volume': 2349306}, {'date': '2026-09-17', 'rs': 42.829343, 'volume': 6593481}, {'date': '2026-09-18', 'rs': 51.382478, 'volume': 5344944}, {'date': '2026-09-21', 'rs': 60.002321, 'volume': 4581441}, {'date': '2026-09-22', 'rs': 69.745487, 'volume': 4255646}, {'date': '2026-09-23', 'rs': 59.932417, 'volume': 6885605}, {'date': '2026-09-24', 'rs': 55.956547, 'volume': 4097678}, {'date': '2026-09-25', 'rs': 53.229429, 'volume': 4224123}]",22.506265,69.745487,30.723164,49.761549,3.8532,5.0,10.0,"[{'date': '2026-09-11', 'rs': 30.723164, 'volume': 313377}, {'date': '2026-09-15', 'rs': 39.866387, 'volume': 1807027}, {'date': '2026-09-16', 'rs': 33.947919, 'volume': 2349306}, {'date': '2026-09-17', 'rs': 42.829343, 'volume': 6593481}, {'date': '2026-09-18', 'rs': 51.382478, 'volume': 5344944}, {'date': '2026-09-21', 'rs': 60.002321, 'volume': 4581441}, {'date': '2026-09-22', 'rs': 69.745487, 'volume': 4255646}, {'date': '2026-09-23', 'rs': 59.932417, 'volume': 6885605}, {'date': '2026-09-24', 'rs': 55.956547, 'volume': 4097678}, {'date': '2026-09-25', 'rs': 53.229429, 'volume': 4224123}]",4224123.0,4025389.444444,1.04937,4.937002,NSE_EQ|INE367G01038,2026-09-25,,LAST COMPLETED CLOSE,,,,,,OK
nifty500,Redington Ltd.,Services,REDINGTON,EQ,INE891D01026,,2026-09-26T17:05:51+05:30,,0.209154,1.850694,14.977414,47.811411,97.790189,,-3.364827,51.176239,"[{'date': '2026-09-11', 'rs': 64.067395, 'volume': 7473984}, {'date': '2026-09-15', 'rs': 58.94904, 'volume': 4338609}, {'date': '2026-09-16', 'rs': 59.537847, 'volume': 5640367}, {'date': '2026-09-17', 'rs': 50.835807, 'volume': 7092777}, {'date': '2026-09-18', 'rs': 45.193412, 'volume': 10809796}, {'date': '2026-09-21', 'rs': 42.934808, 'volume': 2361062}, {'date': '2026-09-22', 'rs': 50.788012, 'volume': 5662870}, {'date': '2026-09-23', 'rs': 43.576773, 'volume': 4661529}, {'date': '2026-09-24', 'rs': 46.026894, 'volume': 4726104}, {'date': '2026-09-25', 'rs': 51.176239, 'volume': 2473777}]",-12.891156,64.067395,42.934808,51.308623,-0.147093,4.0,10.0,"[{'date': '2026-09-11', 'rs': 64.067395, 'volume': 7473984}, {'date': '2026-09-15', 'rs': 58.94904, 'volume': 4338609}, {'date': '2026-09-16', 'rs': 59.537847, 'volume': 5640367}, {'date': '2026-09-17', 'rs': 50.835807, 'volume': 7092777}, {'date': '2026-09-18', 'rs': 45.193412, 'volume': 10809796}, {'date': '2026-09-21', 'rs': 42.934808, 'volume': 2361062}, {'date': '2026-09-22', 'rs': 50.788012, 'volume': 5662870}, {'date': '2026-09-23', 'rs': 43.576773, 'volume': 4661529}, {'date': '2026-09-24', 'rs': 46.026894, 'volume': 4726104}, {'date': '2026-09-25', 'rs': 51.176239, 'volume': 2473777}]",2473777.0,5863010.888889,0.421929,-57.807054,NSE_EQ|INE891D01026,2026-09-25,,LAST COMPLETED CLOSE,,,,,,OK
niftymidsmallfinancailservice,One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020,,2026-09-26T17:05:51+05:30,,-3.543647,-9.508622,-2.447552,47.736299,68.614021,,-3.364827,51.101126,"[{'date': '2026-09-11', 'rs': 63.093249, 'volume': 9269434}, {'date': '2026-09-15', 'rs': 59.695689, 'volume': 3226150}, {'date': '2026-09-16', 'rs': 63.411373, 'volume': 15413025}, {'date': '2026-09-17', 'rs': 64.879643, 'volume': 4085951}, {'date': '2026-09-18', 'rs': 72.476429, 'volume': 4640337}, {'date': '2026-09-21', 'rs': 69.018673, 'volume': 5052267}, {'date': '2026-09-22', 'rs': 68.842854, 'volume': 1208769}, {'date': '2026-09-23', 'rs': 65.641463, 'volume': 2410487}, {'date': '2026-09-24', 'rs': 58.421549, 'volume': 3538274}, {'date': '2026-09-25', 'rs': 51.101126, 'volume': 5174169}]",-11.992123,72.476429,51.101126,63.658205,-13.95231,3.0,10.0,"[{'date': '2026-09-11', 'rs': 63.093249, 'volume': 9269434}, {'date': '2026-09-15', 'rs': 59.695689, 'volume': 3226150}, {'date': '2026-09-16', 'rs': 63.411373, 'volume': 15413025}, {'date': '2026-09-17', 'rs': 64.879643, 'volume': 4085951}, {'date': '2026-09-18', 'rs': 72.476429, 'volume': 4640337}, {'date': '2026-09-21', 'rs': 69.018673, 'volume': 5052267}, {'date': '2026-09-22', 'rs': 68.842854, 'volume': 1208769}, {'date': '2026-09-23', 'rs': 65.641463, 'volume': 2410487}, {'date': '2026-09-24', 'rs': 58.421549, 'volume': 3538274}, {'date': '2026-09-25', 'rs': 51.101126, 'volume': 5174169}]",5174169.0,5427188.222222,0.953379,-4.662068,NSE_EQ|INE982J01020,2026-09-25,,LAST COMPLETED CLOSE,,,,,,OK
