Symbol,Source,Period,Sector,Rank,Favorite Reasons,Favorite Notes
ASTRAMICRO,Sector Top 5,6M,niftyindiadefence,5,,
AUROPHARMA,Sector Top 5,1M,niftyhealthcare,5,,
AUROPHARMA,Sector Top 5,1M,niftypharma,5,,
CYIENTDLM,Sector Top 5,6M,niftyindiadefence,1,,
DIVISLAB,Sector Top 5,1M,niftyhealthcare,2,,
DIVISLAB,Sector Top 5,1M,niftypharma,3,,
DIVISLAB,Sector Top 5,3M,niftypharma,1,,
DIVISLAB,Sector Top 5,6M,niftypharma,4,,
DLF,Sector Top 5,Weekly,niftyrealty,2,,
ETERNAL,Sector Top 5,3M,Nifty India Internet Index,2,,
GLAND,Sector Top 5,3M,niftypharma,3,,
GLAND,Sector Top 5,6M,niftypharma,3,,
GLENMARK,Sector Top 5,1M,niftyhealthcare,3,,
GLENMARK,Sector Top 5,1M,niftypharma,4,,
IPCALAB,Sector Top 5,3M,niftypharma,5,,
LAURUSLABS,Sector Top 5,1M,niftyhealthcare,1,,
LAURUSLABS,Sector Top 5,1M,niftypharma,2,,
LAURUSLABS,Sector Top 5,3M,niftypharma,2,,
LAURUSLABS,Sector Top 5,6M,niftypharma,1,,
LODHA,Sector Top 5,Weekly,niftyrealty,3,,
MAXHEALTH,Sector Top 5,1M,niftyhealthcare,4,,
MTARTECH,Sector Top 5,6M,niftyindiadefence,4,,
NAUKRI,Sector Top 5,3M,Nifty India Internet Index,5,,
NAZARA,Sector Top 5,Weekly,niftymedia,4,,
NETWORK18,Sector Top 5,Weekly,niftymedia,5,,
OBEROIRLTY,Sector Top 5,Weekly,niftyrealty,1,,
PARAS,Sector Top 5,6M,niftyindiadefence,3,,
PAYTM,Sector Top 5,3M,Nifty India Internet Index,1,,
PFOCUS,Sector Top 5,Weekly,niftymedia,1,,
PHOENIXLTD,Sector Top 5,Weekly,niftyrealty,4,,
PINELABS,Sector Top 5,3M,Nifty India Internet Index,3,,
PPLPHARMA,Sector Top 5,3M,niftypharma,4,,
PPLPHARMA,Sector Top 5,6M,niftypharma,5,,
PRESTIGE,Sector Top 5,Weekly,niftyrealty,5,,
PVRINOX,Sector Top 5,Weekly,niftymedia,2,,
SUNTV,Sector Top 5,Weekly,niftymedia,3,,
UNIMECH,Sector Top 5,6M,niftyindiadefence,2,,
URBANCO,Sector Top 5,3M,Nifty India Internet Index,4,,
WOCKPHARMA,Sector Top 5,1M,niftypharma,1,,
WOCKPHARMA,Sector Top 5,6M,niftypharma,2,,
