Symbol,Tag,Monitoring Status,Monitoring Started,Last Hourly RSI,Last Hourly Check,Last 15m Check
LLOYDSME,YTD Top 50,MONITORING,2026-08-25 23:44:37,29.08,2026-08-27 19:56:57,2026-08-26 19:56:48
NAUKRI,Sector Top 5,MONITORING,2026-08-25 23:44:37,44.9,2026-08-26 12:32:07,2026-08-26 19:56:48
ZENTEC,Sector Top 5,MONITORING,2026-08-25 23:44:37,34.04,2026-08-27 19:56:57,2026-08-26 19:56:48
AFFLE,Sector Top 5,MONITORING,2026-08-26 12:32:07,49.86,2026-08-26 12:32:07,2026-08-26 19:56:48
ETERNAL,Sector Top 5,MONITORING,2026-08-26 12:32:07,45.18,2026-08-26 12:32:07,2026-08-26 19:56:48
HINDALCO,Sector Top 5,MONITORING,2026-08-26 12:32:07,49.77,2026-08-26 12:32:07,2026-08-26 19:56:48
RADICO,YTD Top 50,MONITORING,2026-08-26 12:32:07,47.46,2026-08-28 15:08:55,2026-08-26 19:56:48
ANANTRAJ,Sector Top 5,MONITORING,2026-08-26 13:29:17,35.87,2026-08-27 19:56:57,2026-08-26 19:56:48
DLF,Sector Top 5,MONITORING,2026-08-26 13:29:17,44.28,2026-08-27 19:56:57,2026-08-26 19:56:48
CARTRADE,Favorite | Sector Top 5,MONITORING,2026-08-27 19:56:57,37.33,2026-09-03 06:47:28,
DATAPATTNS,YTD Top 50,MONITORING,2026-08-27 19:56:57,46.39,2026-09-03 06:47:28,
FACT,Favorite,MONITORING,2026-08-27 19:56:57,37.41,2026-09-03 06:47:28,
LODHA,Sector Top 5,MONITORING,2026-08-27 19:56:57,40.03,2026-08-27 19:56:57,
PARAS,Favorite | Sector Top 5 | YTD Top 50,MONITORING,2026-08-27 19:56:57,48.68,2026-09-03 06:47:28,
THOMASCOOK,Sector Top 5,MONITORING,2026-08-27 19:56:57,49.04,2026-08-27 19:56:57,
COHANCE,Sector Top 5,MONITORING,2026-08-28 05:22:36,43.3,2026-08-28 15:08:55,
ADANIENSOL,YTD Top 50,MONITORING,2026-08-28 15:08:55,18.67,2026-09-01 01:46:12,
J&KBANK,YTD Top 50,MONITORING,2026-08-28 15:08:55,30.66,2026-09-03 06:47:28,
NEULANDLAB,YTD Top 50,MONITORING,2026-08-28 15:08:55,44.8,2026-09-03 06:47:28,
SYRMA,YTD Top 50,MONITORING,2026-08-29 08:38:14,43.84,2026-09-03 06:47:28,
AARTIIND,YTD Top 50,MONITORING,2026-08-31 11:46:35,36.95,2026-09-01 01:46:12,
ADANIENT,Sector Top 5 | YTD Top 50,MONITORING,2026-08-31 11:46:35,20.4,2026-09-01 01:46:12,
FINCABLES,YTD Top 50,MONITORING,2026-08-31 11:46:35,29.49,2026-09-03 06:47:28,
HINDZINC,Sector Top 5,MONITORING,2026-08-31 11:46:35,37.11,2026-09-03 06:47:28,
JYOTICNC,Favorite,MONITORING,2026-08-31 11:46:35,28.3,2026-09-03 06:47:28,
LTM,Sector Top 5,MONITORING,2026-08-31 11:46:35,46.63,2026-09-01 01:46:12,
NATIONALUM,Sector Top 5,MONITORING,2026-08-31 11:46:35,28.22,2026-09-01 23:28:08,
NETWEB,YTD Top 50,MONITORING,2026-08-31 11:46:35,39.59,2026-09-03 06:47:28,
PERSISTENT,Sector Top 5,MONITORING,2026-08-31 11:46:35,40.14,2026-09-01 01:46:12,
STYL,Sector Top 5 | YTD Top 50,MONITORING,2026-08-31 11:46:35,43.58,2026-09-03 06:47:28,
UNIMECH,Sector Top 5 | YTD Top 50,MONITORING,2026-08-31 11:46:35,42.64,2026-09-03 06:47:28,
WOCKPHARMA,Sector Top 5,MONITORING,2026-08-31 11:46:35,38.4,2026-09-01 01:46:12,
ASTRAL,Favorite,MONITORING,2026-08-31 19:46:34,36.32,2026-09-03 06:47:28,
BALRAMCHIN,Favorite | YTD Top 50,MONITORING,2026-09-01 10:23:54,49.55,2026-09-03 06:47:28,
HFCL,Sector Top 5 | YTD Top 50,MONITORING,2026-09-01 10:23:54,22.75,2026-09-03 06:47:28,
LAURUSLABS,YTD Top 50,MONITORING,2026-09-01 10:23:54,49.89,2026-09-03 06:47:28,
MAXHEALTH,Sector Top 5,MONITORING,2026-09-01 10:23:54,47.05,2026-09-01 23:28:08,
MTARTECH,Sector Top 5 | YTD Top 50,MONITORING,2026-09-01 10:23:54,48.08,2026-09-03 06:47:28,
PAYTM,Favorite | Sector Top 5,MONITORING,2026-09-01 10:23:54,41.76,2026-09-03 06:47:28,
POWERINDIA,YTD Top 50,MONITORING,2026-09-01 10:23:54,40.39,2026-09-03 06:47:28,
APARINDS,YTD Top 50,MONITORING,2026-09-01 15:15:28,31.15,2026-09-03 06:47:28,
HONASA,YTD Top 50,MONITORING,2026-09-01 15:15:28,41.97,2026-09-03 06:47:28,
MCX,YTD Top 50,MONITORING,2026-09-01 15:15:28,46.92,2026-09-03 06:47:28,
MOTHERSON,YTD Top 50,MONITORING,2026-09-01 15:15:28,47.9,2026-09-01 23:28:08,
NEWGEN,Favorite,MONITORING,2026-09-01 15:15:28,38.72,2026-09-03 06:47:28,
RRKABEL,YTD Top 50,MONITORING,2026-09-01 15:15:28,22.45,2026-09-03 06:47:28,
SCHNEIDER,YTD Top 50,MONITORING,2026-09-01 15:15:28,45.95,2026-09-03 06:47:28,
SONACOMS,YTD Top 50,MONITORING,2026-09-01 15:15:28,39.05,2026-09-03 06:47:28,
TATATECH,Sector Top 5,MONITORING,2026-09-01 15:15:28,48.51,2026-09-03 06:47:28,
ANANDRATHI,YTD Top 50,MONITORING,2026-09-01 20:01:38,49.09,2026-09-03 06:47:28,
HINDCOPPER,Sector Top 5,MONITORING,2026-09-02 02:22:31,40.73,2026-09-03 06:47:28,
DYNAMATECH,Sector Top 5,MONITORING,2026-09-02 06:31:20,38.37,2026-09-02 23:36:38,
GLAND,Favorite | YTD Top 50,MONITORING,2026-09-02 06:31:20,49.44,2026-09-03 06:47:28,
APLAPOLLO,Sector Top 5,MONITORING,2026-09-02 11:19:36,47.67,2026-09-03 06:47:28,
ASHOKA,Favorite,MONITORING,2026-09-02 11:19:36,47.96,2026-09-03 06:47:28,
ASTRAMICRO,Sector Top 5 | YTD Top 50,MONITORING,2026-09-02 11:19:36,35.01,2026-09-03 06:47:28,
BBTC,Favorite,MONITORING,2026-09-02 11:19:36,40.43,2026-09-03 06:47:28,
CRAFTSMAN,YTD Top 50,MONITORING,2026-09-02 11:19:36,48.02,2026-09-03 06:47:28,
MASTEK,Favorite,MONITORING,2026-09-02 11:19:36,48.6,2026-09-03 06:47:28,
RKFORGE,YTD Top 50,MONITORING,2026-09-02 11:19:36,39.09,2026-09-02 23:36:38,
SAREGAMA,YTD Top 50,MONITORING,2026-09-02 11:19:36,39.06,2026-09-02 23:36:38,
TBOTEK,Sector Top 5,MONITORING,2026-09-02 11:19:36,47.96,2026-09-03 06:47:28,
AKUMS,YTD Top 50,MONITORING,2026-09-02 16:10:34,43.73,2026-09-03 06:47:28,
APLLTD,Sector Top 5,MONITORING,2026-09-02 16:10:34,46.82,2026-09-02 23:36:38,
AUROPHARMA,YTD Top 50,MONITORING,2026-09-02 16:10:34,40.19,2026-09-03 06:47:28,
INOXINDIA,Favorite | YTD Top 50,MONITORING,2026-09-02 16:10:34,45.2,2026-09-03 06:47:28,
MAHABANK,Favorite,MONITORING,2026-09-02 16:10:34,45.86,2026-09-03 06:47:28,
VIJAYA,YTD Top 50,MONITORING,2026-09-02 16:10:34,46.38,2026-09-03 06:47:28,
