Scan Time,Symbol,Tag,Universe Sources,Universe Periods,Universe Sectors,Universe Ranks,Favorite Reasons,Favorite Notes,Chartink URL,Instrument Key,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,Price Confirmation,Completed Hourly Close,Previous Hourly High,Hourly RSI Touched 30,15m Price Confirmation,Completed 15m Close,Previous 15m High,15m Confirmation Candle,Current 15m Candle,Current 15m RSI,Previous 15m Candle RSI,15m RSI Change,15m RSI Rising,15m Rising Count,History Transition,Scan Mode,Monitoring Status,Monitoring Started,Last 15m Check,Category,Signal,Reason
2026-08-25 23:45:46,KIRLOSENG,YTD Top 50,YTD Top 50,YTD,nifty500,23.0,,,https://chartink.com/stocks/KIRLOSENG.html,NSE_EQ|INE146L01010,2029.3,55.9,59.01,-3.1,2026-08-25 23:00,31.88,41.49,-9.61,NO,NO,2069.0,2080.3,NO,NO,2028.0,2032.5,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 55.90 > 50, but Hourly RSI has not touched 30 (current 31.88)"
2026-08-25 23:45:41,DATAPATTNS,Sector Top 5 | YTD Top 50,Sector Top 5 | YTD Top 50,6M | YTD,niftyindiadefence | nifty500,5.0 | 13.0,,,https://chartink.com/stocks/DATAPATTNS.html,NSE_EQ|INE0IX101010,4542.3,59.13,65.47,-6.34,2026-08-25 23:00,32.11,47.66,-15.55,NO,NO,4730.0,4759.0,NO,NO,4548.0,4577.0,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 59.13 > 50, but Hourly RSI has not touched 30 (current 32.11)"
2026-08-25 23:45:53,RRKABEL,YTD Top 50,YTD Top 50,YTD,nifty500,7.0,,,https://chartink.com/stocks/RRKABEL.html,NSE_EQ|INE777K01022,2801.2,73.01,79.4,-6.39,2026-08-25 23:00,32.79,46.11,-13.31,NO,NO,2871.0,2904.4,NO,NO,2807.0,2813.0,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 73.01 > 50, but Hourly RSI has not touched 30 (current 32.79)"
2026-08-25 23:45:52,POWERINDIA,YTD Top 50,YTD Top 50,YTD,niftylargemidcap250,11.0,,,https://chartink.com/stocks/POWERINDIA.html,NSE_EQ|INE07Y701011,33300.0,55.85,58.2,-2.35,2026-08-25 23:00,32.86,42.26,-9.4,NO,NO,33840.0,33900.0,NO,NO,33300.0,33310.0,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 55.85 > 50, but Hourly RSI has not touched 30 (current 32.86)"
2026-08-25 23:45:37,BALRAMCHIN,YTD Top 50,YTD Top 50,YTD,nifty500,34.0,,,https://chartink.com/stocks/BALRAMCHIN.html,NSE_EQ|INE119A01028,668.1,66.05,80.13,-14.08,2026-08-25 23:00,35.59,40.1,-4.51,NO,NO,683.0,719.9,NO,NO,667.5,672.65,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 66.05 > 50, but Hourly RSI has not touched 30 (current 35.59)"
2026-08-25 23:45:33,AEGISLOG,Favorite | YTD Top 50,Favorite | YTD Top 50,YTD,niftyoilgas,10.0,All Time High,,https://chartink.com/stocks/AEGISLOG.html,NSE_EQ|INE208C01025,1321.6,65.0,71.89,-6.9,2026-08-25 23:00,36.2,41.52,-5.31,NO,NO,1340.5,1349.9,NO,NO,1318.8,1334.5,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 65.00 > 50, but Hourly RSI has not touched 30 (current 36.20)"
2026-08-25 23:45:47,LLOYDSME,YTD Top 50,YTD Top 50,YTD,niftylargemidcap250,49.0,,,https://chartink.com/stocks/LLOYDSME.html,NSE_EQ|INE281B01032,1844.7,58.08,59.58,-1.5,2026-08-25 23:00,36.38,27.1,9.28,YES,NO,1829.3,1838.7,NO,NO,1840.0,1850.0,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 58.08 > 50, but Hourly RSI has not touched 30 (current 36.38)"
2026-08-25 23:45:51,PARAS,Favorite | Sector Top 5 | YTD Top 50,Favorite | Sector Top 5 | YTD Top 50,3M | 6M | YTD,niftyindiadefence,2.0 | 1.0 | 4.0,Volume Shocker,,https://chartink.com/stocks/PARAS.html,NSE_EQ|INE045601023,1445.2,69.55,73.5,-3.94,2026-08-25 23:00,37.84,60.12,-22.29,NO,NO,1521.0,1528.0,NO,NO,1444.0,1454.5,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 69.55 > 50, but Hourly RSI has not touched 30 (current 37.84)"
2026-08-25 23:45:54,SAREGAMA,YTD Top 50,YTD Top 50,YTD,niftymedia,44.0,,,https://chartink.com/stocks/SAREGAMA.html,NSE_EQ|INE979A01025,504.7,65.3,65.94,-0.64,2026-08-25 23:00,37.84,46.53,-8.69,NO,NO,512.0,515.95,NO,YES,506.6,506.0,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 65.30 > 50, but Hourly RSI has not touched 30 (current 37.84)"
2026-08-25 23:45:49,NETWEB,YTD Top 50,YTD Top 50,YTD,nifty500,15.0,,,https://chartink.com/stocks/NETWEB.html,NSE_EQ|INE0NT901020,5273.5,63.61,69.72,-6.12,2026-08-25 23:00,38.2,51.47,-13.27,NO,NO,5435.0,5496.0,NO,NO,5295.0,5298.0,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 63.61 > 50, but Hourly RSI has not touched 30 (current 38.20)"
