Setup ID,Setup Time,Symbol,Tag,Entry Price,Weekly RSI,Hourly RSI,15m Confirmation Candle,15m Close,Previous 15m High,Status
ANANTRAJ_20260826_133150,2026-08-26 13:31:25,ANANTRAJ,Sector Top 5,603.55,56.73,25.55,2026-08-26 13:15,603.55,603.0,ACTIVE
GRANULES_20260826_151105,2026-08-26 15:10:50,GRANULES,Sector Top 5 | YTD Top 50,829.95,60.57,23.68,2026-08-26 14:45,829.95,829.55,ACTIVE
CHENNPETRO_20260831_114843,2026-08-31 11:48:08,CHENNPETRO,YTD Top 50,1355.0,68.0,43.17,2026-08-31 11:30,1355.0,1343.6,ACTIVE
SCHNEIDER_20260831_114843,2026-08-31 11:48:36,SCHNEIDER,YTD Top 50,1191.1,50.02,49.49,2026-08-31 11:30,1191.1,1183.3,ACTIVE
SYRMA_20260901_102620,2026-09-01 10:26:14,SYRMA,YTD Top 50,1438.8,65.89,43.52,2026-09-01 10:00,1438.8,1426.0,ACTIVE
NATIONALUM_20260901_200424,2026-09-01 20:03:58,NATIONALUM,Sector Top 5,372.0,51.47,28.22,2026-09-01 15:15,372.0,370.35,ACTIVE
AEGISLOG_20260902_161314,2026-09-02 16:12:05,AEGISLOG,Favorite | YTD Top 50,1247.7,60.36,47.18,2026-09-02 15:15,1247.7,1244.0,ACTIVE
APARINDS_20260902_161314,2026-09-02 16:12:09,APARINDS,YTD Top 50,16889.0,66.99,27.92,2026-09-02 15:15,16889.0,16874.0,ACTIVE
JYOTICNC_20260902_161314,2026-09-02 16:12:41,JYOTICNC,Favorite,961.0,61.09,28.82,2026-09-02 15:15,961.0,960.9,ACTIVE
SAREGAMA_20260902_161314,2026-09-02 16:13:03,SAREGAMA,YTD Top 50,478.8,56.74,39.06,2026-09-02 15:15,478.8,478.7,ACTIVE
RRKABEL_20260903_164618,2026-09-03 16:46:10,RRKABEL,YTD Top 50,2639.0,64.03,21.6,2026-09-03 15:15,2639.0,2623.7,ACTIVE
FINCABLES_20260904_161013,2026-09-04 16:09:42,FINCABLES,YTD Top 50,1225.0,61.4,41.99,2026-09-04 15:15,1225.0,1222.9,ACTIVE
ASTRAMICRO_20260911_163846,2026-09-11 16:38:10,ASTRAMICRO,Sector Top 5,1688.5,61.25,34.35,2026-09-11 15:15,1688.5,1682.0,ACTIVE
WELCORP_20260915_105420,2026-09-15 10:54:18,WELCORP,Sector Top 5,2523.6,82.53,29.93,2026-09-15 10:30,2523.6,2518.0,ACTIVE
INOXINDIA_20260915_154926,2026-09-15 15:48:46,INOXINDIA,Favorite,2005.9,61.78,21.86,2026-09-15 15:15,2005.9,2005.4,ACTIVE
PARAS_20260915_154926,2026-09-15 15:49:05,PARAS,Favorite | Sector Top 5,1360.7,62.67,25.28,2026-09-15 15:15,1360.7,1339.0,ACTIVE
URBANCO_20260915_204256,2026-09-15 20:42:49,URBANCO,Favorite | Sector Top 5,159.25,57.84,28.94,2026-09-15 15:15,159.25,158.6,ACTIVE
ATHERENERG_20260916_103606,2026-09-16 10:35:08,ATHERENERG,Favorite,1532.8,68.86,24.79,2026-09-16 10:15,1532.8,1531.8,ACTIVE
CAPLIPOINT_20260916_103606,2026-09-16 10:35:16,CAPLIPOINT,Favorite,2543.8,58.92,25.97,2026-09-16 10:15,2543.8,2534.5,ACTIVE
CYIENTDLM_20260916_103606,2026-09-16 10:35:20,CYIENTDLM,Sector Top 5,832.55,78.01,29.31,2026-09-16 10:15,832.55,824.0,ACTIVE
DIVISLAB_20260916_103606,2026-09-16 10:35:21,DIVISLAB,Sector Top 5,9031.0,76.37,24.25,2026-09-16 10:15,9031.0,9027.0,ACTIVE
JINDALSAW_20260916_103606,2026-09-16 10:35:33,JINDALSAW,Favorite,279.1,57.36,18.14,2026-09-16 10:15,279.1,278.2,ACTIVE
MAHABANK_20260916_103606,2026-09-16 10:35:38,MAHABANK,Favorite,80.07,52.01,24.28,2026-09-16 10:15,80.07,79.86,ACTIVE
MTARTECH_20260916_103606,2026-09-16 10:35:46,MTARTECH,Sector Top 5,6646.5,54.31,21.04,2026-09-16 10:15,6646.5,6600.0,ACTIVE
PPLPHARMA_20260916_103606,2026-09-16 10:35:55,PPLPHARMA,Sector Top 5,201.93,59.47,22.61,2026-09-16 10:15,201.93,201.43,ACTIVE
STAR_20260916_103606,2026-09-16 10:36:00,STAR,Favorite,1120.5,57.93,28.38,2026-09-16 10:15,1120.5,1120.0,ACTIVE
CARTRADE_20260916_152927,2026-09-16 15:28:36,CARTRADE,Favorite | Sector Top 5,2893.1,61.26,27.06,2026-09-16 15:00,2893.1,2892.0,ACTIVE
RBLBANK_20260916_201456,2026-09-16 20:14:49,RBLBANK,Sector Top 5,404.0,63.57,30.76,2026-09-16 15:15,404.0,403.85,ACTIVE
