Setup ID,Sent At,Symbol
ANANTRAJ_20260826_133150,2026-08-26 13:31:51,ANANTRAJ
GRANULES_20260826_151105,2026-08-26 15:11:06,GRANULES
CHENNPETRO_20260831_114843,2026-08-31 11:48:44,CHENNPETRO
SCHNEIDER_20260831_114843,2026-08-31 11:48:45,SCHNEIDER
SYRMA_20260901_102620,2026-09-01 10:26:21,SYRMA
NATIONALUM_20260901_200424,2026-09-01 20:04:25,NATIONALUM
AEGISLOG_20260902_161314,2026-09-02 16:13:15,AEGISLOG
APARINDS_20260902_161314,2026-09-02 16:13:16,APARINDS
JYOTICNC_20260902_161314,2026-09-02 16:13:17,JYOTICNC
SAREGAMA_20260902_161314,2026-09-02 16:13:18,SAREGAMA
RRKABEL_20260903_164618,2026-09-03 16:46:19,RRKABEL
FINCABLES_20260904_161013,2026-09-04 16:10:14,FINCABLES
