Scan Time,Symbol,Tag,Universe Sources,Universe Periods,Universe Sectors,Universe Ranks,Favorite Reasons,Favorite Notes,Chartink URL,Instrument Key,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,Price Confirmation,Completed Hourly Close,Previous Hourly High,Hourly RSI Touched 30,15m Price Confirmation,Completed 15m Close,Previous 15m High,15m Confirmation Candle,Current 15m Candle,Current 15m RSI,Previous 15m Candle RSI,15m RSI Change,15m RSI Rising,15m Rising Count,History Transition,Scan Mode,Monitoring Status,Monitoring Started,Last 15m Check,Category,Signal,Reason
2026-09-01 15:16:50,AEGISLOG,Favorite | YTD Top 50,Favorite | YTD Top 50,YTD,niftyenergy,13.0,All Time High,,https://chartink.com/stocks/AEGISLOG.html,NSE_EQ|INE208C01025,1218.7,58.67,62.98,-4.31,2026-09-01 15:00,22.5,35.8,-13.3,NO,NO,1267.0,1267.0,YES,NO,1213.3,1219.4,2026-09-01 15:00,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,Weekly RSI 58.67 > 50 + Hourly RSI touched 30 + 15m price confirmation failed (Close 1213.3 <= Previous High 1219.4)
2026-09-01 15:17:11,IDEA,Sector Top 5,Sector Top 5,6M,niftymidsmallitandtelecom,5.0,,,https://chartink.com/stocks/IDEA.html,NSE_EQ|INE669E01016,14.05,59.19,64.73,-5.54,2026-09-01 15:00,25.23,31.71,-6.48,NO,NO,14.33,14.85,YES,NO,14.05,14.1,2026-09-01 15:00,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,Weekly RSI 59.19 > 50 + Hourly RSI touched 30 + 15m price confirmation failed (Close 14.05 <= Previous High 14.1)
2026-09-01 15:17:24,NATIONALUM,Sector Top 5,Sector Top 5,1M,niftymetal,5.0,,,https://chartink.com/stocks/NATIONALUM.html,NSE_EQ|INE139A01034,370.0,50.95,58.22,-7.27,2026-09-01 15:00,26.79,37.77,-10.98,NO,YES,381.5,381.45,YES,NO,370.0,370.2,2026-09-01 15:00,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,Weekly RSI 50.95 > 50 + Hourly RSI touched 30 + 15m price confirmation failed (Close 370.0 <= Previous High 370.2)
2026-09-01 15:16:59,CARTRADE,Favorite | Sector Top 5,Favorite | Sector Top 5,3M,Nifty India Internet Index,1.0,Volume Shocker,,https://chartink.com/stocks/CARTRADE.html,NSE_EQ|INE290S01011,2966.1,65.78,67.83,-2.05,2026-09-01 15:00,32.04,35.91,-3.87,NO,NO,2991.0,3013.9,NO,NO,2977.3,2985.0,2026-09-01 15:00,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 65.78 > 50, but Hourly RSI has not touched 30 (current 32.04)"
2026-09-01 15:17:30,PARAS,Favorite | Sector Top 5 | YTD Top 50,Favorite | Sector Top 5 | YTD Top 50,1M | 3M | 6M | YTD,niftyindiadefence,5.0 | 2.0 | 6.0,Volume Shocker,,https://chartink.com/stocks/PARAS.html,NSE_EQ|INE045601023,1377.5,64.91,69.18,-4.27,2026-09-01 15:00,32.04,43.43,-11.39,NO,NO,1429.0,1443.0,NO,NO,1377.0,1382.0,2026-09-01 15:00,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 64.91 > 50, but Hourly RSI has not touched 30 (current 32.04)"
2026-09-01 15:17:26,NETWEB,YTD Top 50,YTD Top 50,YTD,nifty500,25.0,,,https://chartink.com/stocks/NETWEB.html,NSE_EQ|INE0NT901020,5133.0,61.07,64.46,-3.39,2026-09-01 15:00,33.54,37.95,-4.41,NO,NO,5177.7,5219.0,NO,NO,5130.5,5162.5,2026-09-01 15:00,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 61.07 > 50, but Hourly RSI has not touched 30 (current 33.54)"
2026-09-01 15:17:07,HFCL,Sector Top 5 | YTD Top 50,Sector Top 5 | YTD Top 50,6M | YTD,niftymidsmallitandtelecom,1.0,,,https://chartink.com/stocks/HFCL.html,NSE_EQ|INE548A01028,236.64,72.87,81.07,-8.21,2026-09-01 15:00,34.37,56.57,-22.2,NO,NO,248.9,251.73,NO,NO,236.64,236.64,2026-09-01 15:00,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 72.87 > 50, but Hourly RSI has not touched 30 (current 34.37)"
2026-09-01 15:17:00,DATAPATTNS,YTD Top 50,YTD Top 50,YTD,niftyindiadefence,16.0,,,https://chartink.com/stocks/DATAPATTNS.html,NSE_EQ|INE0IX101010,4523.0,58.59,60.82,-2.22,2026-09-01 15:00,35.1,33.8,1.3,YES,NO,4517.0,4565.3,NO,YES,4528.3,4510.0,2026-09-01 15:00,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 58.59 > 50, but Hourly RSI has not touched 30 (current 35.10)"
2026-09-01 15:17:03,FINCABLES,YTD Top 50,YTD Top 50,YTD,nifty500,26.0,,,https://chartink.com/stocks/FINCABLES.html,NSE_EQ|INE235A01022,1243.8,63.31,68.16,-4.85,2026-09-01 15:00,37.14,39.55,-2.41,NO,NO,1250.5,1250.75,NO,NO,1242.4,1248.2,2026-09-01 15:00,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 63.31 > 50, but Hourly RSI has not touched 30 (current 37.14)"
2026-09-01 15:17:14,J&KBANK,YTD Top 50,YTD Top 50,YTD,nifty500,40.0,,,https://chartink.com/stocks/J%26KBANK.html,NSE_EQ|INE168A01041,147.22,50.92,52.48,-1.56,2026-09-01 15:00,38.56,41.77,-3.21,NO,NO,148.0,148.45,NO,YES,147.33,147.23,2026-09-01 15:00,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 50.92 > 50, but Hourly RSI has not touched 30 (current 38.56)"
